26.07.2016	13:30:00
h	°C	1	2	3	4
5,01114	26,8	7,06055	7,68555	7,96875	7,21191
5,01392	26,7	6,94336	7,63184	7,92969	7,12891
5,01670	26,7	6,84570	7,58301	7,90039	7,06543
5,01948	26,7	6,76758	7,54883	7,88086	7,02148
5,02226	26,6	6,69922	7,52441	7,86621	6,98730
5,02504	26,6	6,64063	7,50000	7,84668	6,95801
5,02782	26,6	6,58691	7,48047	7,83203	6,92383
5,03060	26,6	6,53809	7,46094	7,81738	6,91406
5,03338	26,6	6,51367	7,44141	7,80273	6,88477
5,03616	26,5	6,47949	7,43164	7,79297	6,86523
5,03894	26,5	6,45020	7,41211	7,78320	6,84082
5,04172	26,4	6,41602	7,39746	7,76367	6,81641
5,04450	26,4	6,37695	7,39258	7,74414	6,79199
5,04728	26,4	6,35254	7,38281	7,73438	6,77246
5,05006	26,4	6,30371	7,36328	7,71973	6,75781
5,05284	26,4	6,27930	7,35352	7,71484	6,73340
5,05562	26,3	6,25000	7,34375	7,70508	6,72363
5,05840	26,3	6,20605	7,33398	7,69043	6,71387
5,06118	26,3	6,18652	7,32422	7,67090	6,68945
5,06396	26,2	6,14746	7,31445	7,66602	6,66992
5,06674	26,2	6,10840	7,30469	7,65625	6,65527
5,06952	26,2	6,07910	7,28027	7,64160	6,63574
5,07230	26,2	6,04492	7,27539	7,63672	6,63086
5,07508	26,1	6,02539	7,25586	7,63184	6,61621
5,07786	26,1	5,98633	7,24609	7,62695	6,60645
5,08064	26,1	5,94727	7,22656	7,60742	6,60156
5,08342	26,1	5,90820	7,21680	7,59766	6,58203
5,08620	26,0	5,86914	7,22656	7,59766	6,56250
5,08898	26,1	5,83496	7,21191	7,58301	6,55273
5,09176	26,0	5,80078	7,20703	7,58301	6,53809
5,09454	26,0	5,76172	7,20703	7,56836	6,52344
5,09732	26,0	5,73242	7,19238	7,56348	6,51855
5,10010	26,0	5,68848	7,18262	7,54883	6,50391
5,10288	26,0	5,65430	7,17773	7,54883	6,50391
5,10566	26,0	5,62988	7,17285	7,54883	6,49414
5,10844	25,9	5,60547	7,16797	7,53906	6,48438
5,11122	25,9	5,57129	7,16797	7,52930	6,47461
5,11400	25,9	5,54199	7,15820	7,51953	6,47461
5,11678	25,9	5,51758	7,15820	7,51953	6,47949
5,11956	25,9	5,48828	7,16797	7,51953	6,47461
5,12234	25,9	5,46387	7,15820	7,51465	6,47461
5,12512	25,8	5,44434	7,14844	7,51465	6,47949
5,12790	25,8	5,42480	7,15332	7,51953	6,47461
5,13068	25,8	5,41016	7,15820	7,51953	6,46484
5,13346	25,8	5,38086	7,15820	7,50977	6,46973
5,13624	25,8	5,36133	7,15820	7,50977	6,45996
5,13902	25,8	5,34180	7,16797	7,51953	6,46484
5,14180	25,8	5,32715	7,15820	7,51465	6,46484
5,14458	25,8	5,30273	7,16797	7,50488	6,45996
5,14736	25,8	5,29785	7,16797	7,50977	6,45508
5,15014	25,8	5,26855	7,16797	7,51953	6,46973
5,15292	25,7	5,25391	7,15820	7,50000	6,46973
5,15570	25,7	5,24414	7,16797	7,50977	6,46484
5,15848	25,7	5,23438	7,17285	7,51953	6,47949
5,16126	25,7	5,22461	7,17285	7,50977	6,47461
5,16404	25,7	5,20508	7,18750	7,50000	6,47949
6,00003	26,9	7,23633	7,74902	8,00781	7,51953
6,00281	26,9	7,19727	7,73438	7,97852	7,49023
6,00558	26,9	7,17773	7,72949	7,98340	7,48047
6,00836	26,8	7,14844	7,71973	7,98828	7,46094
6,01114	26,8	7,09473	7,69531	7,96875	7,40723
6,01392	26,8	7,00684	7,65137	7,93945	7,33398
6,01670	26,8	6,91895	7,61719	7,92480	7,27539
6,01948	26,8	6,86523	7,58789	7,90039	7,24609
6,02226	26,7	6,81641	7,56836	7,89063	7,22656
6,02504	26,7	6,78711	7,54883	7,88574	7,19727
6,02782	26,7	6,73828	7,51953	7,87109	7,17285
6,03060	26,7	6,71875	7,50977	7,86133	7,14844
6,03338	26,6	6,68945	7,50977	7,85645	7,13867
6,03616	26,6	6,65527	7,49023	7,84180	7,13379
6,03894	26,6	6,62598	7,48047	7,83203	7,11914
6,04172	26,5	6,60156	7,47070	7,81250	7,09961
6,04450	26,5	6,57715	7,46094	7,80273	7,08008
6,04728	26,5	6,54297	7,45117	7,80273	7,06543
6,05006	26,4	6,51855	7,44141	7,78809	7,05078
6,05284	26,4	6,49414	7,43164	7,77832	7,04102
6,05562	26,4	6,45996	7,42188	7,77344	7,02637
6,05840	26,4	6,43555	7,40234	7,76367	7,01172
6,06118	26,4	6,40625	7,40234	7,75391	7,00195
6,06396	26,3	6,37207	7,38281	7,74414	6,98242
6,06674	26,3	6,34766	7,37793	7,73926	6,97266
6,06952	26,3	6,32324	7,36328	7,72949	6,95313
6,07230	26,2	6,29883	7,36328	7,72461	6,94824
6,07508	26,2	6,27930	7,35352	7,71484	6,93359
6,07786	26,2	6,25488	7,33398	7,70020	6,92383
6,08064	26,2	6,23047	7,32910	7,69531	6,92383
